Name,Glycan Structure
G01678ZX,G01678ZX
G01680CB,G01680CB
G01682GA,G01682GA
G01685IB,G01685IB
G01690DX,G01690DX
G01695WQ,G01695WQ
G01696BA,G01696BA
G01698QO,G01698QO
G01699OT,G01699OT
G01706RV,G01706RV
G01707KB,G01707KB
G01708UF,G01708UF
G01713HS,G01713HS
G01713LB,G01713LB
G01714NT,G01714NT
G01714TP,G01714TP
G01716TC,G01716TC
G01718WD,G01718WD
G01722AX,G01722AX
G01722HI,G01722HI
G01725BW,G01725BW
G01726AL,G01726AL
G01726AR,G01726AR
G01726PL,G01726PL
G01727PW,G01727PW
G01730TA,G01730TA
G01732WP,G01732WP
G01741TB,G01741TB
G01742GV,G01742GV
G01744JD,G01744JD
G01746BG,G01746BG
G01747AF,G01747AF
G01747FB,G01747FB
G01748MD,G01748MD
G01749YL,G01749YL
G01752VH,G01752VH
G01753HF,G01753HF
G01753LJ,G01753LJ
G01755WL,G01755WL
G01759NM,G01759NM
G01760ZU,G01760ZU
G01765SB,G01765SB
G01765ZR,G01765ZR
G01767JJ,G01767JJ
G01769FS,G01769FS
G01769OH,G01769OH
G01778PX,G01778PX
G01779GQ,G01779GQ
G01784XC,G01784XC
G01789AQ,G01789AQ
G01791IN,G01791IN
G01791PK,G01791PK
G01797UE,G01797UE
G01799XU,G01799XU
G01801SZ,G01801SZ
G01802HL,G01802HL
G01803DO,G01803DO
G01804GG,G01804GG
G01811VA,G01811VA
G01817YC,G01817YC
G01818NQ,G01818NQ
G01818TY,G01818TY
G01820ZB,G01820ZB
G01821IJ,G01821IJ
G01822KD,G01822KD
G01823EY,G01823EY
G01825JS,G01825JS
G01828CI,G01828CI
G01836CN,G01836CN
G01846YN,G01846YN
G01854VF,G01854VF
G01855OX,G01855OX
G01855RJ,G01855RJ
G01856RL,G01856RL
G01859LC,G01859LC
G01864SU,G01864SU
G01866TT,G01866TT
G01868JD,G01868JD
G01869FL,G01869FL
G01875VS,G01875VS
G01877XT,G01877XT
G01878VC,G01878VC
G01879YS,G01879YS
G01883MR,G01883MR
G01886VT,G01886VT
G01888JZ,G01888JZ
G01891JS,G01891JS
G01894QP,G01894QP
G01908DT,G01908DT
G01912KI,G01912KI
G01912QV,G01912QV
G01914YF,G01914YF
G01923FT,G01923FT
G01923XE,G01923XE
G01924CV,G01924CV
G01924ZE,G01924ZE
G01933LC,G01933LC
G01935FK,G01935FK
G01937VC,G01937VC
G01945QJ,G01945QJ
G01947XZ,G01947XZ
G01953DT,G01953DT
G01954BU,G01954BU
G01955HM,G01955HM
G01958XE,G01958XE
G01962RN,G01962RN
G01966AZ,G01966AZ
G01968NV,G01968NV
G01972UA,G01972UA
G01985BK,G01985BK
G01986HE,G01986HE
G01994DD,G01994DD
G01996DN,G01996DN
G01998SG,G01998SG
G01999JH,G01999JH
G01999QR,G01999QR
G01999ZH,G01999ZH
G02000AU,G02000AU
G02000GW,G02000GW
G02014WF,G02014WF
G02020YO,G02020YO
G02021XC,G02021XC
G02025MF,G02025MF
G02029PW,G02029PW
G02030ZB,G02030ZB
G02032MW,G02032MW
G02038LQ,G02038LQ
G02042KH,G02042KH
G02043YW,G02043YW
G02044PV,G02044PV
G02045OB,G02045OB
G02049XR,G02049XR
G02050BR,G02050BR
G02054AQ,G02054AQ
G02054MB,G02054MB
G02056RY,G02056RY
G02057QV,G02057QV
G02065HZ,G02065HZ
G02065IU,G02065IU
G02066SJ,G02066SJ
G02073FK,G02073FK
G02074UZ,G02074UZ
G02078ZZ,G02078ZZ
G02079RR,G02079RR
G02080VH,G02080VH
G02081QK,G02081QK
G02086EJ,G02086EJ
G02086TB,G02086TB
G02089YL,G02089YL
G02096RK,G02096RK
G02096VT,G02096VT
G02103WZ,G02103WZ
G02109YE,G02109YE
G02115LJ,G02115LJ
G02122FK,G02122FK
G02123VE,G02123VE
G02126PG,G02126PG
G02128NP,G02128NP
G02131QZ,G02131QZ
G02136CO,G02136CO
G02137HO,G02137HO
G02145PB,G02145PB
G02146NT,G02146NT
G02149VR,G02149VR
G02150AC,G02150AC
G02152MS,G02152MS
G02156UW,G02156UW
G02161CI,G02161CI
G02161PX,G02161PX
G02162DJ,G02162DJ
G02162HB,G02162HB
G02162KR,G02162KR
G02162RZ,G02162RZ
G02168MP,G02168MP
G02170ZK,G02170ZK
G02173JB,G02173JB
G02174FQ,G02174FQ
G02175CF,G02175CF
G02180YM,G02180YM
G02182MJ,G02182MJ
G02187VY,G02187VY
G02188HQ,G02188HQ
G02191FD,G02191FD
G02193CV,G02193CV
G02196YO,G02196YO
G02198VW,G02198VW
G02207TG,G02207TG
G02225WU,G02225WU
G02226PP,G02226PP
G02230FN,G02230FN
G02230VA,G02230VA
G02231DC,G02231DC
G02231KH,G02231KH
G02240AO,G02240AO
G02244ID,G02244ID
G02244MC,G02244MC
G02246MA,G02246MA
G02250EI,G02250EI
G02251YG,G02251YG
G02252NT,G02252NT
G02253SS,G02253SS
G02256MB,G02256MB
G02256NN,G02256NN
G02259AO,G02259AO
G02263UX,G02263UX
G02273DT,G02273DT
G02275IQ,G02275IQ
G02278OY,G02278OY
G02280OF,G02280OF
G02280UH,G02280UH
G02284UY,G02284UY
G02287BL,G02287BL
G02288EO,G02288EO
G02290KA,G02290KA
G02297WO,G02297WO
G02302MM,G02302MM
G02310VX,G02310VX
G02311IE,G02311IE
G02311SL,G02311SL
G02315DX,G02315DX
G02316AS,G02316AS
G02320PG,G02320PG
G02322JK,G02322JK
G02332YO,G02332YO
G02340QD,G02340QD
G02342QI,G02342QI
G02349HM,G02349HM
G02350ZD,G02350ZD
G02351CQ,G02351CQ
G02353KU,G02353KU
G02358GX,G02358GX
G02363VZ,G02363VZ
G02366EM,G02366EM
G02368JK,G02368JK
G02371CH,G02371CH
G02371ZR,G02371ZR
G02374CE,G02374CE
G02376RL,G02376RL
G02377RY,G02377RY
G02377TE,G02377TE
G02379AH,G02379AH
G02386TE,G02386TE
G02387FV,G02387FV
G02393LQ,G02393LQ
G02393VO,G02393VO
G02394XU,G02394XU
G02397SF,G02397SF
G02398MD,G02398MD
G02402FF,G02402FF
G02402HF,G02402HF
G02403ZU,G02403ZU
G02405SM,G02405SM
G02410EE,G02410EE
G02420CD,G02420CD
G02422RD,G02422RD
G02425VX,G02425VX
G02425YO,G02425YO
G02433XU,G02433XU
G02436CO,G02436CO
